cust_id,state,checking,savings,primacy
0000442503602354,PA,1026.74,973.68,False
0000109622566900,Other,815.33,1342.68,False
0000974751633221,OH,5486.59,3703.0,True
0000206451631458,OH,60.61,998.29,True
0000861657385166,PA,1343.94,,False
0000153163782932,NY,3444.05,,True
0000334599520361,NY,868.23,2343.13,False
0000799456016684,Other,2995.77,10.0,True
0000368500881874,WA,915.82,944.87,True
0000572491791298,NY,1168.77,2654.34,False
0000914213234358,NY,501.69,10.0,False
0000583513433809,Other,556.28,,False
0000161166685096,OH,3484.06,,True
0000419218511118,NY,1114.49,,True
0000833575605162,PA,1546.41,10.0,True
0000573348737160,OH,864.91,2652.19,False
0000708846238756,OH,971.96,1137.99,False
0000400326873446,OH,3219.39,10.0,True
0000585191858303,Other,1011.18,,False
0000463341066152,Other,4230.2,,True
0000509442390142,NY,1104.15,10.0,False
0000635756270861,NY,4402.98,3096.48,True
0000787020428714,NY,1736.81,,True
0000920843670944,Other,297.52,10.0,True
0000295274827902,NY,525.91,,False
0000446472176217,Other,3154.13,,True
0000461661448294,OH,445.13,,False
0000568214534977,Other,6632.88,10.0,True
0000804699116687,CO,50.75,4151.77,False
0000920684488428,OH,287.38,10.0,False
0000300194801031,OH,4716.86,,False
0000880775589932,OH,5296.92,6452.05,False
0000615822372738,NY,2282.01,2253.6,False
0000433581883799,Other,2712.38,10.0,False
0000454442879228,CO,4039.42,10.0,True
0000428230071881,OH,107.1,10.0,False
0000940905424776,Other,1002.54,,False
0000465492459582,NY,1445.35,3229.76,False
0000674489647987,WA,7238.17,3318.11,True
0000452061256222,NY,7488.8,,True
0000632345407454,WA,2875.26,,False
0000847349548323,WA,1351.6,5604.65,False
0000337230001389,NY,4370.93,3689.89,True
0000320158653386,OH,1748.39,10.0,True
0000165371018768,OH,986.3,3216.92,False
0000292332755143,NY,1600.92,,True
0000874494775071,CO,439.13,,False
0000316872459073,Other,3695.34,10.0,True
0000186283370676,Other,978.22,,False
0000707695451703,WA,858.89,3131.57,True
0000252352065127,WA,2510.05,10.0,False
0000290714022026,NY,4830.78,3297.68,True
0000947857420553,Other,3152.87,782.57,True
0000990857461146,WA,72.82,10.0,False
0000158627962649,OH,7035.67,1876.36,True
0000213103447327,NY,7201.32,126.02,True
0000842953065560,OH,828.88,,False
0000467497574162,OH,4846.95,1548.9,False
0000736163083500,PA,1194.38,,False
0000733832708807,OH,85.42,10.0,False
0000915210831146,OH,0.42,10.0,False
0000116067666410,NY,4376.22,,True
0000132616896160,OH,3582.14,192.35,True
0000537228538567,OH,2175.24,,False
0000518909514638,NY,5471.77,5495.54,True
0000837108039973,NY,1418.45,1227.71,False
0000104498635628,Other,2186.54,1726.24,True
0000462588635397,PA,455.55,,False
0000925864348445,OH,3819.92,10.0,True
0000925590297106,NY,1017.74,1568.63,True
0000184922095640,Other,1355.7,3719.15,False
0000510363647422,OH,95.73,10.0,False
0000524074428449,Other,6654.66,10.0,False
0000338762998695,WA,5106.04,311.37,True
0000479428081300,Other,333.37,2533.82,False
0000825317906468,WA,1586.32,2725.63,False
0000653499619079,PA,3606.31,10.0,True
0000207456918284,Other,1784.35,,False
0000311760782607,OH,1223.22,1840.2,False
0000772268195040,NY,7542.43,6083.83,True
0000262126520822,WA,881.21,10.0,True
0000918052084254,OH,2079.9,10.0,True
0000530237798824,OH,9986.42,2814.22,True
0000577589413210,OH,917.34,2419.45,False
0000904488359925,NY,16864.17,12351.45,True
0000908196108572,NY,8048.57,1377.97,True
0000268142641419,OH,2574.61,2029.18,True
0000783382408481,OH,5151.69,,True
0000973906795451,OH,6284.69,1584.17,True
0000673415452150,NY,581.69,10.0,False
0000576673484369,CO,3481.0,,True
0000258610385828,NY,335.76,120.69,False
0000269036226059,NY,3980.61,2700.08,True
0000155570110879,NY,4325.74,,True
0000566073233394,CO,760.38,1030.9,True
0000388886207797,NY,1384.33,10.0,True
0000444950387065,NY,600.7,3425.51,False
0000783940599783,OH,1709.58,10.0,False
0000330423861109,NY,5910.4,3661.37,True
0000621961565032,NY,3446.02,,True
0000206193567905,WA,417.15,,False
0000105742826206,NY,6059.09,10.0,False
0000913296379797,PA,46.85,1945.07,False
0000819939139036,NY,5196.82,1264.52,True
0000281553932859,OH,1060.11,10.0,True
0000555999450166,Other,1212.83,1781.08,True
0000993273374426,NY,6564.05,6315.19,True
0000410430244233,OH,123.78,,False
0000244308088870,Other,1197.2,372.17,False
0000514826464987,NY,1892.64,5653.05,True
0000654154495544,NY,1104.46,4992.52,False
0000120818563446,OH,86.65,,False
0000340731202484,NY,659.14,,False
0000578651914794,NY,1012.92,,False
0000699981852346,OH,9632.58,10.0,True
0000837032573274,NY,2193.96,,False
0000628536383804,OH,1092.97,3859.97,False
0000800395176712,NY,3048.71,10.0,True
0000810373663267,OH,652.06,65.7,False
0000360023601678,OH,4996.89,7798.81,True
0000490729070429,OH,1247.32,791.91,True
0000200940225883,CO,2537.4,,True
0000253223289147,NY,2951.14,,False
0000791240951312,NY,6564.66,1350.62,True
0000762316108173,WA,1072.66,1114.61,True
0000340312615313,OH,237.44,,False
0000527368268833,Other,5484.14,,True
0000178345848266,OH,8776.15,,True
0000258334302909,NY,1194.21,,False
0000338347130744,OH,854.18,900.36,False
0000890465308713,NY,17847.63,11707.72,True
0000752468814236,OH,42.5,3383.84,False
0000736414206008,OH,4873.58,3324.73,True
0000315271623639,Other,1852.57,2595.06,False
0000352500419239,CO,1844.8,10.0,True
0000948694606924,NY,295.93,2732.39,True
0000361111164433,OH,295.49,10.0,False
0000817590650553,PA,2550.05,4136.4,False
0000965661766349,NY,1061.41,,False
0000617413134336,OH,2745.12,,True
0000881540583122,Other,2756.77,10.0,True
0000440129068063,Other,627.7,2634.69,True
0000963554690438,NY,160.8,3775.54,False
0000230085385321,CO,3840.32,1516.51,True
0000198103258292,OH,966.44,10.0,False
0000410211579955,OH,576.49,2150.33,False
0000646922979434,OH,8565.09,8588.76,True
0000498313565253,NY,237.31,1674.23,False
0000526549593924,PA,888.08,10.0,False
0000541766198021,Other,904.43,,True
0000385174375563,NY,7412.06,,True
0000238570143905,CO,4994.15,,True
0000802522126765,PA,605.91,1175.2,False
0000519672342739,NY,2410.85,,True
0000954201458265,OH,4181.51,10.0,False
0000572708924032,NY,1638.4,10.0,False
0000181313225356,OH,496.04,2145.88,True
0000811602003042,OH,7.14,10.0,False
0000821765104541,NY,941.43,,False
0000284047725837,OH,221.06,2650.09,False
0000914796475760,OH,6848.95,,True
0000147164100953,NY,2585.43,10.0,False
0000455239721099,Other,2088.94,,False
0000226488354487,NY,1766.67,,False
0000909028133265,NY,2669.7,4656.17,True
0000639479249693,NY,3587.49,,True
0000834997480781,Other,2855.07,10.0,True
0000792740342171,Other,2428.18,4592.26,False
0000644205409190,Other,2078.11,,False
0000476738307087,Other,1586.18,258.15,True
0000932653019604,CO,3857.83,,True
0000662483194565,OH,4809.76,,False
0000199901680019,OH,195.05,10.0,False
0000858180612569,OH,2883.91,717.68,True
0000372165153432,NY,2704.91,10.0,False
0000928842553545,OH,449.46,3957.11,False
0000992270678500,PA,5353.0,10.0,True
0000809163289079,Other,1135.12,3726.44,True
0000423894407521,NY,493.67,,False
0000787843738440,NY,29.0,10.0,False
0000766905291736,NY,2420.67,6218.47,True
0000705376709220,OH,1961.7,10.0,True
0000569872678271,Other,5138.93,2723.95,False
0000186383930633,Other,2845.2,2980.75,False
0000794813360383,PA,178.83,10.0,False
0000120356101224,OH,6248.21,,True
0000461608149542,OH,6673.53,,True
0000828745221514,NY,1757.66,10.0,True
0000775810459571,NY,422.4,10.0,False
0000719601548093,NY,1002.86,,False
0000833019790628,Other,2282.44,10.0,False
0000897811609992,OH,1717.07,,True
0000854092863343,Other,5149.92,10.0,True
0000218545439279,WA,703.17,2600.21,False
0000478263793846,Other,488.47,10.0,False
0000830111192545,OH,3481.62,1967.28,False
0000357395672063,NY,1607.99,,False
0000283472823910,OH,331.9,105.38,False
0000417477800771,WA,5053.8,10.0,True
0000498773149784,PA,1415.95,10.0,True
0000469802079086,Other,1614.78,,True
0000781798327479,Other,2975.78,,True
0000905161468009,OH,3966.74,,True
0000550382643717,OH,1080.33,,True
0000173885281437,OH,1089.58,10.0,False
0000243285758544,OH,7431.5,,True
0000247794311864,NY,915.04,,True
0000512629065590,CO,2817.58,10.0,True
0000211628887304,OH,9357.73,,True
0000826578094113,PA,294.57,3368.12,False
0000670331508816,NY,2366.28,10.0,True
0000204964652215,NY,4214.78,,True
0000830107786152,OH,4626.85,10.0,True
0000975181081143,NY,2527.43,1544.96,True
0000158304651258,NY,5300.66,10.0,False
0000217723328172,NY,12283.56,,True
0000160306892639,OH,8264.8,3624.74,True
0000241326218842,WA,303.49,,False
0000691112464245,PA,528.45,4503.9,False
0000937168001657,NY,329.94,3980.32,False
0000336862475268,NY,9551.87,1287.42,True
0000463838591260,NY,1084.9,10.0,False
0000490200500087,OH,3910.45,10.0,False
0000905155740290,NY,1712.8,417.47,True
0000714372318909,OH,2518.59,10.0,True
0000416153483940,NY,5031.55,,True
0000334736540232,CO,1855.78,5710.51,True
0000396844998737,OH,701.7,4309.4,False
0000306611754875,CO,164.01,263.88,False
0000811417243482,NY,1232.51,2743.69,False
0000305022973851,OH,7596.6,4456.42,True
0000296328233215,OH,3817.86,10.0,True
0000452276206273,NY,2590.37,10.0,True
0000676816060649,NY,3328.14,10.0,True
0000795095460359,OH,1535.43,,True
0000760012427527,OH,3706.51,,True
0000165841165919,NY,2079.08,4759.86,True
0000939877987221,Other,7247.04,6264.12,True
0000100375741422,Other,3741.23,10.0,True
0000313285952828,Other,1075.87,,False
0000507267621042,NY,1154.34,,True
0000480637738678,OH,1852.29,10.0,True
0000754569741641,OH,4244.68,,True
0000346288597599,Other,208.88,10.0,False
0000406495503428,PA,4146.79,,True
0000489565548978,NY,3053.68,,True
0000847683620987,OH,2050.52,3461.01,False
0000736759168606,NY,274.52,10.0,False
0000583857816915,NY,4400.42,,True
0000565066862900,NY,2442.2,10.0,True
0000369206704077,NY,2293.7,4633.2,False
0000199271498756,OH,1259.1,10.0,True
0000970806028420,OH,9640.27,1915.66,True
0000885335900359,NY,498.84,10.0,False
0000831492973209,NY,809.59,4829.84,False
0000744139296915,OH,4370.42,,True
0000639872577544,NY,2427.73,2704.13,True
0000445708419589,OH,2525.07,,True
0000753278445634,OH,831.77,10.0,True
0000179341667130,NY,674.06,1093.68,False
0000379229526087,NY,1202.72,10.0,False
0000478091115634,OH,10042.71,4418.55,True
0000816704781918,OH,3088.63,2511.84,True
0000367171687166,CO,449.92,4964.32,False
0000881332735523,WA,2622.32,1372.08,True
0000826154226916,OH,1701.59,2982.92,True
0000993698199123,NY,1561.26,4274.58,True
0000111107743552,Other,851.78,1082.56,False
0000700866516742,Other,855.99,,True
0000846322135967,NY,591.88,3389.89,False
0000728910187436,NY,3738.56,10.0,True
0000685940420284,OH,1801.76,865.83,False
0000359630107551,OH,5619.67,4043.29,True
0000245077224152,OH,1751.95,10.0,True
0000968898798962,OH,4505.22,6859.49,True
0000212746218611,OH,3151.15,,True
0000657234264138,NY,953.15,,False
0000376141798951,NY,197.32,10.0,False
0000488072976485,OH,2349.16,904.75,False
0000101258934921,WA,3145.29,5022.52,True
0000575023729426,WA,7178.91,8228.44,True
0000284416785603,NY,895.02,10.0,False
0000383433576871,OH,6386.81,,True
0000757683783283,WA,1831.48,10.0,False
0000691534495899,NY,5857.28,,True
0000449280876687,Other,2334.49,,True
0000961134954951,OH,240.99,10.0,False
0000686654370203,OH,104.36,3609.35,False
0000268002038341,WA,1173.8,,False
0000839669060479,NY,4620.6,,True
0000416321509552,NY,993.5,997.59,False
0000795851969351,OH,9111.22,,False
0000523173296342,PA,988.14,2081.82,False
